Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
Trader Joes 203,-122.2448,37.810474,3250 Lakeshore Ave,,Oakland,CA,94610,2720,ALAMEDA 
Walgreens 10526,-122.2448,37.810474,3250 Lakeshore Ave,B,Oakland,CA,94610,2720,ALAMEDA 
7-Eleven 14174E,-122.24615,37.814323,3500 Grand Ave,,Oakland,CA,94610,2010,ALAMEDA 
CVS Pharmacy 1283,-122.24457,37.810524,3236 Lakeshore Ave,,Oakland,CA,94610,2720,ALAMEDA 
Lake Shore Produce,-122.24438,37.810589,3260 Lakeshore Ave,,Oakland,CA,94610,2720,ALAMEDA 
Grandlake Farmers Market,-122.24792,37.811432,Grand Avenue and Lake Park Avenue,,Oakland,CA,94610,,ALAMEDA 
Quik Stop Market 5052,-122.24955,37.805065,401 Merritt Ave,,Oakland,CA,94610,5110,ALAMEDA 
Merrit Super,-122.25629,37.808987,346 Grand Ave,,Oakland,CA,94610,4826,ALAMEDA 
FOOD 24 CONVENIENCE MARKET,-122.2386,37.802773,2900 Park Blvd,,Oakland,CA,94610,3918,ALAMEDA 
SAFEWAY  1119,-122.24544,37.816738,3747 Grand Ave,,Oakland,CA,94610,1505,ALAMEDA 
Quik Stop Market 8003,-122.25376,37.818584,66 Macarthur Blvd,,Oakland,CA,94610,1336,ALAMEDA 
Grand Express Market,-122.25526,37.808853,363 Grand Ave,,Oakland,CA,94610,4827,ALAMEDA 
